"1B - FS"	"1B - OR"	"AllB - FS"	"AllB - OR"	"5B - FS"	"5B - OR"
"BCL6B"	1.27458111975262e-10	9.85329198064446	2.22741559399114e-28	6.49745936183022	3.50974184725697e-23	7.33533797099982
"NR1H3"	0.00189179590394381	11.1764729817664	2.53151001755651e-14	5.06636961871619	1.70470061666859e-10	5.7619106892781
"ELK3"	0.000124632687042911	3.45120216673586	2.5597119338591e-13	2.58324393653658	2.00101272013128e-10	2.72247223501661
"IRF8"	0.148392348899791	3.26789673269951	1.22526539781693e-06	2.13564587915418	0.000104064818796274	2.34230564287395
"SPI1"	0.102217260229807	2.08786460550566	1.3309405392085e-06	1.70244708650045	7.59769795814546e-05	1.75348003918321
"NF1"	0.265443028601527	3.92445072441567	1.35579685868238e-06	2.23562960899943	7.89384280873211e-05	2.40481067159146
"ONECUT1"	0.514627415729704	7.84058458036766	1.38630306594652e-06	3.04318699186992	0.000191240174789905	3.88789327247187
"ZNF664"	0.189067502830967	3.43001924020219	1.60872423872819e-06	2.17747830317843	0.000104590587056461	2.44209017049372
"ZNF770"	0.130777188981091	2.5857420221259	1.8665428263568e-06	1.88568695583365	0.000132614629514341	2.00144261930473
"GLI1"	0.764626308675412	7.11629010456547	3.18326867588235e-05	2.60129952322687	0.00132561348510901	3.14089795182834
"SMARCC1"	0.561714597585391	4.51285088447457	4.62126817741071e-05	2.10684273709484	0.00345928695453671	2.32394281549118
"VEZF1"	0.683415196713018	2.7572009108621	5.8736790526079e-05	1.89096481187461	0.00205395806144225	2.02823149759554
"GTF2F1"	0.942074664514013	4.43238517263613	0.000556491270663237	2.10975960991031	0.0269593168203644	2.34570069529787
"ZNF653"	0.994518432918223	5.54663179520688	0.00153793240122961	2.27126950560739	0.0456168378701174	2.76116728642634
"EP300"	0.933886336921363	1.94359555493605	0.00843804504464925	1.43423193308251	0.0653638180635904	1.55013101013856
"BRCA1"	0.930610954527314	2.42563603861351	0.0198164151373117	1.42110422835587	0.14057235794965	1.51828570977383
"GATA2"	0.999948142820301	3.22418627752988	0.0292496122998063	1.63012702708161	0.25646211752579	1.87281168964783
